Name,API Name,Instance Memory,vCPUs,Physical Processor,Instance Storage,Network Performance,On Demand,RHEL On Demand cost,RHEL Reserved cost,Windows On Demand cost,Windows Reserved cost
C5 High-CPU Large,c5d.large,4 GiB,2 vCPUs,Intel Xeon Platinum 8124M,50 GB NVMe SSD,Up to 10 Gigabit,$0.1220 hourly,$0.1510 hourly,$0.1060 hourly,$0.2140 hourly,$0.1690 hourly
R5 16xlarge,r5.16xlarge,512 GiB,64 vCPUs,Intel Xeon Platinum 8175,EBS only,20 Gigabit,$4.8640 hourly,$6.4510 hourly,$4.6520 hourly,$7.8080 hourly,$6.0080 hourly
R6GD Quadruple Extra Large,r6gd.4xlarge,128 GiB,16 vCPUs,AWS Graviton2 Processor,950 GB NVMe SSD,Up to 10 Gigabit,$1.1120 hourly,$1.2848 hourly,$0.8784 hourly,unavailable,unavailable
R6A Large,r6a.large,16 GiB,2 vCPUs,AMD EPYC 7R13 Processor,EBS only,Up to 12.5 Gigabit,$0.1368 hourly,$0.2006 hourly,$0.1543 hourly,$0.2288 hourly,$0.1825 hourly
A1 Medium,a1.medium,2 GiB,1 vCPUs,AWS Graviton Processor,EBS only,Up to 10 Gigabit,$0.0321 hourly,$0.0640 hourly,$0.0521 hourly,unavailable,unavailable
I3EN Double Extra Large,i3en.2xlarge,64 GiB,8 vCPUs,Intel Xeon Platinum 8175,5000 GB (2×2500 GB NVMe SSD),Up to 25 Gigabit,$1.0640 hourly,$1.1790 hourly,$0.8420 hourly,$1.4320 hourly,$1.0940 hourly
C6I 24xlarge,c6i.24xlarge,192 GiB,96 vCPUs,Intel Xeon 8375C (Ice Lake),EBS only,37.5 Gigabit,$5.1360 hourly,$6.1728 hourly,$4.4237 hourly,$9.5520 hourly,$7.8029 hourly
C5 High-CPU Quadruple Extra Large,c5.4xlarge,32 GiB,16 vCPUs,Intel Xeon Platinum 8124M,EBS only,Up to 10 Gigabit,$0.8560 hourly,$1.2530 hourly,$0.9360 hourly,$1.5920 hourly,$1.2750 hourly
R3 High-Memory Double Extra Large,r3.2xlarge,61 GiB,8 vCPUs,Intel Xeon E5-2670 v2 (Ivy Bridge),160 GB SSD,High,$0.7980 hourly,$1.0550 hourly,$0.8020 hourly,$1.1770 hourly,$0.9650 hourly
R8G Medium,r8g.medium,8 GiB,1 vCPUs,AWS Graviton4 Processor,EBS only,Up to 12.5 Gigabit,$0.0711 hourly,$0.0855 hourly,$0.0614 hourly,unavailable,unavailable
R5 Metal,r5.metal,768 GiB,96 vCPUs,Intel Xeon Platinum 8175,EBS only,25 Gigabit,$7.2960 hourly,$9.6770 hourly,$6.9770 hourly,$11.7120 hourly,$9.0120 hourly
C8G 12xlarge,c8g.12xlarge,96 GiB,48 vCPUs,AWS Graviton4 Processor,EBS only,22.5 Gigabit,$2.4014 hourly,$3.5918 hourly,$2.7739 hourly,unavailable,unavailable
R8GD 48xlarge,r8gd.48xlarge,1536 GiB,192 vCPUs,AWS Graviton4 Processor,11400 GB (6×1900 GB NVMe SSD),50 Gigabit,$17.0477 hourly,$18.8909 hourly,unavailable,unavailable,unavailable
C5A 12xlarge,c5a.12xlarge,96 GiB,48 vCPUs,AMD EPYC 7R32,EBS only,12 Gigabit,$2.3040 hourly,$2.8220 hourly,$1.9700 hourly,$4.5120 hourly,$3.6600 hourly
R6A 16xlarge,r6a.16xlarge,512 GiB,64 vCPUs,AMD EPYC 7R13 Processor,EBS only,25 Gigabit,$4.3776 hourly,$5.0688 hourly,$3.5870 hourly,$7.3216 hourly,$5.8398 hourly
M6I 16xlarge,m6i.16xlarge,256 GiB,64 vCPUs,Intel Xeon 8375C (Ice Lake),EBS only,25 Gigabit,$3.9680 hourly,$5.5552 hourly,$4.2164 hourly,$6.9120 hourly,$5.5732 hourly
C8G Extra Large,c8g.xlarge,8 GiB,4 vCPUs,AWS Graviton4 Processor,EBS only,Up to 12.5 Gigabit,$0.2001 hourly,$0.3277 hourly,$0.2596 hourly,unavailable,unavailable
G6 Graphics and Machine Learning GPU Extra Large,g6.xlarge,16 GiB,4 vCPUs,AMD EPYC 7R13 Processor,250 GB NVMe SSD,Up to 10 Gigabit,$1.1672 hourly,$1.2948 hourly,$0.8874 hourly,$1.3512 hourly,$0.9438 hourly
I4I Metal,i4i.metal,1024 GiB,128 vCPUs,Intel Xeon 8375C (Ice Lake),30000 GB (8×3750 GB NVMe SSD),75 Gigabit,$12.8830 hourly,$14.1120 hourly,$9.6220 hourly,$18.7710 hourly,$14.2810 hourly
I7IE Large,i7ie.large,16 GiB,2 vCPUs,Intel Xeon Scalable (Emerald Rapids),1250 GB NVMe SSD,Up to 25 Gigabit,$0.3059 hourly,$0.3347 hourly,unavailable,$0.3979 hourly,unavailable
T2 Micro,t2.micro,1 GiB,1 vCPUs (2h 24m burst),Intel Xeon Family,EBS only,Low to Moderate,$0.0152 hourly,$0.0471 hourly,$0.0422 hourly,$0.0198 hourly,$0.0149 hourly
R5AD Extra Large,r5ad.xlarge,32 GiB,4 vCPUs,AMD EPYC 7571,150 GB NVMe SSD,Up to 10 Gigabit,$0.3180 hourly,$0.3760 hourly,$0.2580 hourly,$0.5020 hourly,$0.3840 hourly
C6IN Large,c6in.large,4 GiB,2 vCPUs,Intel Xeon 8375C (Ice Lake),EBS only,Up to 25 Gigabit,$0.1428 hourly,$0.2066 hourly,$0.1538 hourly,$0.2348 hourly,$0.1820 hourly
M8GD 16xlarge,m8gd.16xlarge,256 GiB,64 vCPUs,AWS Graviton4 Processor,3800 GB (2×1900 GB NVMe SSD),30 Gigabit,$4.7680 hourly,$5.4592 hourly,unavailable,unavailable,unavailable
C6ID 24xlarge,c6id.24xlarge,192 GiB,96 vCPUs,Intel Xeon 8375C (Ice Lake),5700 GB (4×1425 GB NVMe SSD),37.5 Gigabit,$6.1488 hourly,$7.1856 hourly,$5.0852 hourly,$10.5648 hourly,$8.4644 hourly
C6I Metal,c6i.metal,256 GiB,128 vCPUs,Intel Xeon 8375C (Ice Lake),EBS only,50 Gigabit,$6.8480 hourly,$8.0768 hourly,$5.7446 hourly,$12.7360 hourly,$10.4038 hourly
C6ID Double Extra Large,c6id.2xlarge,16 GiB,8 vCPUs,Intel Xeon 8375C (Ice Lake),474 GB NVMe SSD,Up to 12.5 Gigabit,$0.5124 hourly,$0.6276 hourly,$0.4526 hourly,$0.8804 hourly,$0.7054 hourly
R7A Quadruple Extra Large,r7a.4xlarge,128 GiB,16 vCPUs,AMD EPYC 9R14 Processor,EBS only,Up to 12.5 Gigabit,$1.4683 hourly,$1.6411 hourly,$1.1441 hourly,$2.2043 hourly,$1.7073 hourly
C6GN 12xlarge,c6gn.12xlarge,96 GiB,48 vCPUs,AWS Graviton2 Processor,EBS only,75 Gigabit,$2.6160 hourly,$3.8064 hourly,$2.8283 hourly,unavailable,unavailable
C7GD Large,c7gd.large,4 GiB,2 vCPUs,AWS Graviton3 Processor,118 GB NVMe SSD,Up to 12.5 Gigabit,$0.1153 hourly,$0.1791 hourly,$0.1397 hourly,unavailable,unavailable
U-18TB1 112xlarge,u-18tb1.112xlarge,18432 GiB,448 vCPUs,Intel Xeon Platinum 8280L (Cascade Lake),EBS only,100 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
G6e Graphics and Machine Learning GPU Eight Extra Large,g6e.8xlarge,256 GiB,32 vCPUs,AMD EPYC 7R13 Processor,900 GB (2×450 GB NVMe SSD),25 Gigabit,$6.5678 hourly,$6.9134 hourly,$4.4833 hourly,$8.0397 hourly,$5.6097 hourly
M6ID Eight Extra Large,m6id.8xlarge,128 GiB,32 vCPUs,Intel Xeon 8375C (Ice Lake),1900 GB NVMe SSD,12.5 Gigabit,$2.4528 hourly,$2.7984 hourly,$1.8909 hourly,$3.9248 hourly,$3.0173 hourly
G6e Graphics and Machine Learning GPU Extra Large,g6e.xlarge,32 GiB,4 vCPUs,AMD EPYC 7R13 Processor,250 GB NVMe SSD,Up to 20 Gigabit,$2.6990 hourly,$2.8266 hourly,$1.8280 hourly,$2.8830 hourly,$1.8844 hourly
M5 General Purpose Large,m5.large,8 GiB,2 vCPUs,Intel Xeon Platinum 8175,EBS only,Up to 10 Gigabit,$0.1240 hourly,$0.1530 hourly,$0.1070 hourly,$0.2160 hourly,$0.1700 hourly
C6A 16xlarge,c6a.16xlarge,128 GiB,64 vCPUs,AMD EPYC 7R13 Processor,EBS only,25 Gigabit,$3.0816 hourly,$4.6688 hourly,$3.6193 hourly,$6.0256 hourly,$4.9761 hourly
M5AD Eight Extra Large,m5ad.8xlarge,128 GiB,32 vCPUs,AMD EPYC 7571,1200 GB (2×600 GB NVMe SSD),Up to 10 Gigabit,$2.1440 hourly,$2.4900 hourly,$1.6960 hourly,$3.6160 hourly,$2.8230 hourly
R7I 48xlarge,r7i.48xlarge,1536 GiB,192 vCPUs,Intel Xeon Scalable (Sapphire Rapids),EBS only,50 Gigabit,$15.3216 hourly,$19.1808 hourly,$13.9944 hourly,$24.1536 hourly,$18.9672 hourly
R7I Quadruple Extra Large,r7i.4xlarge,128 GiB,16 vCPUs,Intel Xeon Scalable (Sapphire Rapids),EBS only,Up to 12.5 Gigabit,$1.2768 hourly,$1.4496 hourly,$1.0174 hourly,$2.0128 hourly,$1.5806 hourly
R5AD Eight Extra Large,r5ad.8xlarge,256 GiB,32 vCPUs,AMD EPYC 7571,1200 GB (2×600 GB NVMe SSD),Up to 10 Gigabit,$2.5440 hourly,$2.8900 hourly,$1.9480 hourly,$4.0160 hourly,$3.0750 hourly
M7A 48xlarge,m7a.48xlarge,768 GiB,192 vCPUs,AMD EPYC 9R14 Processor,EBS only,50 Gigabit,$14.3741 hourly,$16.2173 hourly,$11.3675 hourly,$23.2061 hourly,$18.3563 hourly
C5 High-CPU 18xlarge,c5d.18xlarge,144 GiB,72 vCPUs,Intel Xeon Platinum 8124M,1800 GB (2×900 GB NVMe SSD),25 Gigabit,$4.3920 hourly,$6.1780 hourly,$4.5530 hourly,$7.7040 hourly,$6.0790 hourly
C6GN Large,c6gn.large,4 GiB,2 vCPUs,AWS Graviton2 Processor,EBS only,Up to 25 Gigabit,$0.1090 hourly,$0.1378 hourly,$0.0970 hourly,unavailable,unavailable
C7A Large,c7a.large,4 GiB,2 vCPUs,AMD EPYC 9R14 Processor,EBS only,Up to 12.5 Gigabit,$0.1292 hourly,$0.1930 hourly,$0.1490 hourly,$0.2212 hourly,$0.1772 hourly
C6A Extra Large,c6a.xlarge,8 GiB,4 vCPUs,AMD EPYC 7R13 Processor,EBS only,Up to 12.5 Gigabit,$0.1926 hourly,$0.2502 hourly,$0.1846 hourly,$0.3766 hourly,$0.3110 hourly
C4 High-CPU Quadruple Extra Large,c4.4xlarge,30 GiB,16 vCPUs,Intel Xeon E5-2666 v3 (Haswell),EBS only,High,$1.0080 hourly,$1.1810 hourly,$0.8950 hourly,$1.7440 hourly,$1.4580 hourly
P4D Highest Performance GPU 24xlarge,p4d.24xlarge,1152 GiB,96 vCPUs,Intel Xeon Platinum 8275L,8000 GB (8×1000 GB NVMe SSD),4x 100 Gigabit,$30.0978 hourly,$32.4786 hourly,$21.9605 hourly,unavailable,unavailable
C7GN Large,c7gn.large,4 GiB,2 vCPUs,AWS Graviton3 Processor,EBS only,Up to 30 Gigabit,$0.1574 hourly,$0.1862 hourly,$0.1271 hourly,unavailable,unavailable
C7A Quadruple Extra Large,c7a.4xlarge,32 GiB,16 vCPUs,AMD EPYC 9R14 Processor,EBS only,Up to 12.5 Gigabit,$1.0336 hourly,$1.2064 hourly,$0.8544 hourly,$1.7696 hourly,$1.4176 hourly
I7IE Extra Large,i7ie.xlarge,32 GiB,4 vCPUs,Intel Xeon Scalable (Emerald Rapids),2500 GB NVMe SSD,Up to 25 Gigabit,$0.6118 hourly,$0.6694 hourly,unavailable,$0.7958 hourly,unavailable
R6ID Quadruple Extra Large,r6id.4xlarge,128 GiB,16 vCPUs,Intel Xeon 8375C (Ice Lake),950 GB NVMe SSD,Up to 12.5 Gigabit,$1.4616 hourly,$1.8584 hourly,$1.3176 hourly,$2.1976 hourly,$1.6568 hourly
C7A 24xlarge,c7a.24xlarge,192 GiB,96 vCPUs,AMD EPYC 9R14 Processor,EBS only,37.5 Gigabit,$6.2016 hourly,$8.5824 hourly,$6.4704 hourly,$10.6176 hourly,$8.5056 hourly
M5N 16xlarge,m5n.16xlarge,256 GiB,64 vCPUs,Intel Xeon Platinum 8259 (Cascade Lake),EBS only,75 Gigabit,$4.8960 hourly,$6.4830 hourly,$4.6720 hourly,$7.8400 hourly,$6.0280 hourly
T3A Medium,t3a.medium,4 GiB,2 vCPUs (4h 48m burst),AMD EPYC 7571,EBS only,Up to 5 Gigabit,$0.0490 hourly,$0.1128 hourly,$0.0946 hourly,$0.0674 hourly,$0.0492 hourly
C6GN Quadruple Extra Large,c6gn.4xlarge,32 GiB,16 vCPUs,AWS Graviton2 Processor,EBS only,25 Gigabit,$0.8720 hourly,$1.2688 hourly,$0.9428 hourly,unavailable,unavailable
M5A Large,m5a.large,8 GiB,2 vCPUs,AMD EPYC 7571,EBS only,Up to 10 Gigabit,$0.1120 hourly,$0.1760 hourly,$0.1340 hourly,$0.2040 hourly,$0.1630 hourly
M6A 48xlarge,m6a.48xlarge,768 GiB,192 vCPUs,AMD EPYC 7R13 Processor,EBS only,50 Gigabit,$10.7136 hourly,$12.5568 hourly,$8.9420 hourly,$19.5456 hourly,$15.9308 hourly
I4I 16xlarge,i4i.16xlarge,512 GiB,64 vCPUs,Intel Xeon 8375C (Ice Lake),15000 GB (4×3750 GB NVMe SSD),37.5 Gigabit,$6.4420 hourly,$7.1330 hourly,$4.8880 hourly,$9.3860 hourly,$7.1410 hourly
M7I 48xlarge,m7i.48xlarge,768 GiB,192 vCPUs,Intel Xeon Scalable (Sapphire Rapids),EBS only,50 Gigabit,$12.4992 hourly,$14.3424 hourly,$10.1252 hourly,$21.3312 hourly,$17.1140 hourly
G4DN Eight Extra Large,g4dn.8xlarge,128 GiB,32 vCPUs,Intel Xeon Family,900 GB NVMe SSD,50 Gigabit,$2.9380 hourly,$3.7310 hourly,$2.7990 hourly,$4.4100 hourly,$3.4770 hourly
M5AD Large,m5ad.large,8 GiB,2 vCPUs,AMD EPYC 7571,75 GB NVMe SSD,Up to 10 Gigabit,$0.1340 hourly,$0.1980 hourly,$0.1480 hourly,$0.2260 hourly,$0.1760 hourly
R5 Quadruple Extra Large,r5.4xlarge,128 GiB,16 vCPUs,Intel Xeon Platinum 8175,EBS only,Up to 10 Gigabit,$1.2160 hourly,$1.6130 hourly,$1.1630 hourly,$1.9520 hourly,$1.5020 hourly
R7IZ 16xlarge,r7iz.16xlarge,512 GiB,64 vCPUs,Intel Xeon Scalable (Sapphire Rapids),EBS only,25 Gigabit,$7.2640 hourly,$8.8512 hourly,$6.1635 hourly,$10.2080 hourly,$7.5203 hourly
C7I Eight Extra Large,c7i.8xlarge,64 GiB,32 vCPUs,Intel Xeon Scalable (Sapphire Rapids),EBS only,12.5 Gigabit,$1.7976 hourly,$2.5912 hourly,$1.9790 hourly,$3.2696 hourly,$2.6574 hourly
I7I Eight Extra Large,i7i.8xlarge,256 GiB,32 vCPUs,Intel Xeon Scalable (Emerald Rapids),7500 GB (2×3750 GB NVMe SSD),Up to 25 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
M5ZN Large,m5zn.large,8 GiB,2 vCPUs,Intel Xeon Platinum 8252,EBS only,Up to 25 Gigabit,$0.2134 hourly,$0.2772 hourly,$0.1974 hourly,$0.3054 hourly,$0.2256 hourly
M7I-FLEX Eight Extra Large,m7i-flex.8xlarge,128 GiB,32 vCPUs,Intel Xeon Scalable (Sapphire Rapids),EBS only,Up to 12.5 Gigabit,$1.9790 hourly,$2.7726 hourly,$2.1049 hourly,$3.3774 hourly,$2.7097 hourly
C8G 48xlarge,c8g.48xlarge,384 GiB,192 vCPUs,AWS Graviton4 Processor,EBS only,50 Gigabit,$9.6058 hourly,$11.4490 hourly,$8.1772 hourly,unavailable,unavailable
M6I 24xlarge,m6i.24xlarge,384 GiB,96 vCPUs,Intel Xeon 8375C (Ice Lake),EBS only,37.5 Gigabit,$5.9520 hourly,$6.9888 hourly,$4.9806 hourly,$10.3680 hourly,$8.3598 hourly
C6IN Quadruple Extra Large,c6in.4xlarge,32 GiB,16 vCPUs,Intel Xeon 8375C (Ice Lake),EBS only,Up to 50 Gigabit,$1.1424 hourly,$1.5392 hourly,$1.1165 hourly,$1.8784 hourly,$1.4557 hourly
I7I Quadruple Extra Large,i7i.4xlarge,128 GiB,16 vCPUs,Intel Xeon Scalable (Emerald Rapids),3750 GB NVMe SSD,Up to 25 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
R5B Metal,r5b.metal,768 GiB,96 vCPUs,Intel Xeon Platinum 8259 (Cascade Lake),EBS only,25 Gigabit,$8.6880 hourly,$11.0688 hourly,$7.8542 hourly,$13.1040 hourly,$9.8894 hourly
M7G Metal,m7g.metal,256 GiB,64 vCPUs,AWS Graviton3 Processor,EBS only,30 Gigabit,$3.3728 hourly,$4.0640 hourly,$2.9258 hourly,unavailable,unavailable
X2IEDN Double Extra Large,x2iedn.2xlarge,256 GiB,8 vCPUs,Intel Xeon Scalable (Icelake),237 GB NVMe SSD,Up to 25 Gigabit,$2.4176 hourly,$2.6728 hourly,$1.7428 hourly,$2.7856 hourly,$1.8556 hourly
C6A Eight Extra Large,c6a.8xlarge,64 GiB,32 vCPUs,AMD EPYC 7R13 Processor,EBS only,12.5 Gigabit,$1.5408 hourly,$1.8864 hourly,$1.3617 hourly,$3.0128 hourly,$2.4881 hourly
M6IN Large,m6in.large,8 GiB,2 vCPUs,Intel Xeon 8375C (Ice Lake),EBS only,Up to 25 Gigabit,$0.1790 hourly,$0.2078 hourly,$0.1416 hourly,$0.2710 hourly,$0.2048 hourly
C6I Double Extra Large,c6i.2xlarge,16 GiB,8 vCPUs,Intel Xeon 8375C (Ice Lake),EBS only,Up to 12.5 Gigabit,$0.4280 hourly,$0.5432 hourly,$0.3974 hourly,$0.7960 hourly,$0.6502 hourly
R6IDN 24xlarge,r6idn.24xlarge,768 GiB,96 vCPUs,Intel Xeon 8375C (Ice Lake),5700 GB (4×1425 GB NVMe SSD),150 Gigabit,$11.4005 hourly,$13.7813 hourly,$9.5631 hourly,$15.8165 hourly,$11.5983 hourly
C7I Double Extra Large,c7i.2xlarge,16 GiB,8 vCPUs,Intel Xeon Scalable (Sapphire Rapids),EBS only,Up to 12.5 Gigabit,$0.4494 hourly,$0.7046 hourly,$0.5515 hourly,$0.8174 hourly,$0.6643 hourly
R7IZ Extra Large,r7iz.xlarge,32 GiB,4 vCPUs,Intel Xeon Scalable (Sapphire Rapids),EBS only,Up to 12.5 Gigabit,$0.4540 hourly,$0.5816 hourly,$0.4136 hourly,$0.6380 hourly,$0.4700 hourly
R6ID Large,r6id.large,16 GiB,2 vCPUs,Intel Xeon 8375C (Ice Lake),118 GB NVMe SSD,Up to 12.5 Gigabit,$0.1827 hourly,$0.2465 hourly,$0.1789 hourly,$0.2747 hourly,$0.2071 hourly
R6A 12xlarge,r6a.12xlarge,384 GiB,48 vCPUs,AMD EPYC 7R13 Processor,EBS only,18.75 Gigabit,$3.2832 hourly,$4.4736 hourly,$3.3622 hourly,$5.4912 hourly,$4.3798 hourly
P3 High Performance GPU Double Extra Large,p3.2xlarge,61 GiB,8 vCPUs,Intel Xeon E5-2686 v4 (Broadwell),EBS only,Up to 10 Gigabit,$4.1940 hourly,$4.4490 hourly,unavailable,$4.5620 hourly,unavailable
M5 General Purpose 16xlarge,m5d.16xlarge,256 GiB,64 vCPUs,Intel Xeon Platinum 8175,2400 GB (4×600 GB NVMe SSD),20 Gigabit,$4.6720 hourly,$5.3630 hourly,$3.6350 hourly,$7.6160 hourly,$5.8870 hourly
D2 Quadruple Extra Large,d2.4xlarge,122 GiB,16 vCPUs,Intel Xeon E5-2676 v3 (Haswell),24576 GB (12×2048 GB HDD),High,$3.3760 hourly,$3.5490 hourly,$2.0870 hourly,$3.6780 hourly,$2.1960 hourly
C5 High-CPU Double Extra Large,c5d.2xlarge,16 GiB,8 vCPUs,Intel Xeon Platinum 8124M,200 GB NVMe SSD,Up to 10 Gigabit,$0.4880 hourly,$0.6030 hourly,$0.4230 hourly,$0.8560 hourly,$0.6750 hourly
Z1D 3xlarge,z1d.3xlarge,96 GiB,12 vCPUs,Intel Xeon Platinum 8151,450 GB NVMe SSD,Up to 10 Gigabit,$1.3620 hourly,$1.4920 hourly,$0.9880 hourly,$1.9140 hourly,$1.4100 hourly
M5A 24xlarge,m5a.24xlarge,384 GiB,96 vCPUs,AMD EPYC 7571,EBS only,20 Gigabit,$5.3760 hourly,$7.7570 hourly,$5.7680 hourly,$9.7920 hourly,$7.8030 hourly
M6IN Double Extra Large,m6in.2xlarge,32 GiB,8 vCPUs,Intel Xeon 8375C (Ice Lake),EBS only,Up to 40 Gigabit,$0.7160 hourly,$0.8312 hourly,$0.5663 hourly,$1.0840 hourly,$0.8191 hourly
M7I-FLEX Extra Large,m7i-flex.xlarge,16 GiB,4 vCPUs,Intel Xeon Scalable (Sapphire Rapids),EBS only,Up to 12.5 Gigabit,$0.2474 hourly,$0.3750 hourly,$0.2915 hourly,$0.4222 hourly,$0.3387 hourly
R6IN 12xlarge,r6in.12xlarge,384 GiB,48 vCPUs,Intel Xeon 8375C (Ice Lake),EBS only,75 Gigabit,$5.0825 hourly,$5.6009 hourly,$3.7204 hourly,$7.2905 hourly,$5.4100 hourly
M6ID Large,m6id.large,8 GiB,2 vCPUs,Intel Xeon 8375C (Ice Lake),118 GB NVMe SSD,Up to 12.5 Gigabit,$0.1533 hourly,$0.2171 hourly,$0.1604 hourly,$0.2453 hourly,$0.1886 hourly
I3 High I/O Eight Extra Large,i3.8xlarge,244 GiB,32 vCPUs,Intel Xeon E5-2686 v4 (Broadwell),7600 GB (4×1900 GB NVMe SSD),10 Gigabit,$2.9280 hourly,$3.2740 hourly,$2.3280 hourly,$4.4000 hourly,$3.4540 hourly
C7I 16xlarge,c7i.16xlarge,128 GiB,64 vCPUs,Intel Xeon Scalable (Sapphire Rapids),EBS only,25 Gigabit,$3.5952 hourly,$5.1824 hourly,$3.9580 hourly,$6.5392 hourly,$5.3148 hourly
C5A Extra Large,c5a.xlarge,8 GiB,4 vCPUs,AMD EPYC 7R32,EBS only,Up to 10 Gigabit,$0.1920 hourly,$0.3200 hourly,$0.2490 hourly,$0.3760 hourly,$0.3050 hourly
C6IN 12xlarge,c6in.12xlarge,96 GiB,48 vCPUs,Intel Xeon 8375C (Ice Lake),EBS only,75 Gigabit,$3.4272 hourly,$4.6176 hourly,$3.3495 hourly,$5.6352 hourly,$4.3671 hourly
M5 General Purpose 24xlarge,m5.24xlarge,384 GiB,96 vCPUs,Intel Xeon Platinum 8175,EBS only,25 Gigabit,$5.9520 hourly,$8.3330 hourly,$6.1310 hourly,$10.3680 hourly,$8.1660 hourly
H1 16xlarge,h1.16xlarge,256 GiB,64 vCPUs,Intel Xeon E5-2686 v4 (Broadwell),16000 GB (8×2000 GB HDD),25 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
M6GD Medium,m6gd.medium,4 GiB,1 vCPUs,AWS Graviton2 Processor,59 GB NVMe SSD,Up to 10 Gigabit,$0.0585 hourly,$0.0729 hourly,$0.0512 hourly,unavailable,unavailable
I4G Quadruple Extra Large,i4g.4xlarge,128 GiB,16 vCPUs,AWS Graviton2 Processor,3750 GB NVMe SSD,Up to 25 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
M5N 24xlarge,m5n.24xlarge,384 GiB,96 vCPUs,Intel Xeon Platinum 8259 (Cascade Lake),EBS only,100 Gigabit,$7.3440 hourly,$9.7250 hourly,$7.0080 hourly,$11.7600 hourly,$9.0430 hourly
C6I Eight Extra Large,c6i.8xlarge,64 GiB,32 vCPUs,Intel Xeon 8375C (Ice Lake),EBS only,12.5 Gigabit,$1.7120 hourly,$2.0576 hourly,$1.4746 hourly,$3.1840 hourly,$2.6010 hourly
R5 24xlarge,r5.24xlarge,768 GiB,96 vCPUs,Intel Xeon Platinum 8175,EBS only,25 Gigabit,$7.2960 hourly,$9.6770 hourly,$6.9770 hourly,$11.7120 hourly,$9.0120 hourly
M8GD Metal-48xl,m8gd.metal-48xl,768 GiB,192 vCPUs,AWS Graviton4 Processor,11400 GB (6×1900 GB NVMe SSD),50 Gigabit,$14.3040 hourly,$18.1632 hourly,unavailable,unavailable,unavailable
I7I Metal-24xl,i7i.metal-24xl,768 GiB,96 vCPUs,Intel Xeon Scalable (Emerald Rapids),22500 GB (6×3750 GB NVMe SSD),Up to 56.25 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
C6ID Extra Large,c6id.xlarge,8 GiB,4 vCPUs,Intel Xeon 8375C (Ice Lake),237 GB NVMe SSD,Up to 12.5 Gigabit,$0.2562 hourly,$0.3138 hourly,$0.2263 hourly,$0.4402 hourly,$0.3527 hourly
D2 Extra Large,d2.xlarge,30.5 GiB,4 vCPUs,Intel Xeon E5-2676 v3 (Haswell),6144 GB (3×2048 GB HDD),Moderate,$0.8440 hourly,$0.9020 hourly,$0.5360 hourly,$0.9750 hourly,$0.5990 hourly
R5B Quadruple Extra Large,r5b.4xlarge,128 GiB,16 vCPUs,Intel Xeon Platinum 8259 (Cascade Lake),EBS only,Up to 10 Gigabit,$1.4480 hourly,$1.6208 hourly,$1.0850 hourly,$2.1840 hourly,$1.6482 hourly
C6I 12xlarge,c6i.12xlarge,96 GiB,48 vCPUs,Intel Xeon 8375C (Ice Lake),EBS only,18.75 Gigabit,$2.5680 hourly,$3.0864 hourly,$2.2118 hourly,$4.7760 hourly,$3.9014 hourly
C6A 48xlarge,c6a.48xlarge,384 GiB,192 vCPUs,AMD EPYC 7R13 Processor,EBS only,50 Gigabit,$9.2448 hourly,$11.0880 hourly,$7.9396 hourly,$18.0768 hourly,$14.9284 hourly
R6IN 16xlarge,r6in.16xlarge,512 GiB,64 vCPUs,Intel Xeon 8375C (Ice Lake),EBS only,100 Gigabit,$6.7766 hourly,$7.4678 hourly,$4.9605 hourly,$9.7206 hourly,$7.2133 hourly
R5DN Extra Large,r5dn.xlarge,32 GiB,4 vCPUs,Intel Xeon Platinum 8259 (Cascade Lake),150 GB NVMe SSD,Up to 25 Gigabit,$0.4060 hourly,$0.5336 hourly,$0.3834 hourly,$0.5900 hourly,$0.4400 hourly
M8G Medium,m8g.medium,4 GiB,1 vCPUs,AWS Graviton4 Processor,EBS only,Up to 12.5 Gigabit,$0.0580 hourly,$0.0724 hourly,$0.0528 hourly,unavailable,unavailable
R7I Large,r7i.large,16 GiB,2 vCPUs,Intel Xeon Scalable (Sapphire Rapids),EBS only,Up to 12.5 Gigabit,$0.1596 hourly,$0.1884 hourly,$0.1344 hourly,$0.2516 hourly,$0.1976 hourly
M5DN Extra Large,m5dn.xlarge,16 GiB,4 vCPUs,Intel Xeon Platinum 8259 (Cascade Lake),150 GB NVMe SSD,Up to 25 Gigabit,$0.3500 hourly,$0.4780 hourly,$0.3480 hourly,$0.5340 hourly,$0.4050 hourly
R5DN 16xlarge,r5dn.16xlarge,512 GiB,64 vCPUs,Intel Xeon Platinum 8259 (Cascade Lake),2400 GB (4×600 GB NVMe SSD),75 Gigabit,$6.4960 hourly,$8.0832 hourly,$5.6797 hourly,$9.4400 hourly,$7.0360 hourly
I3EN Extra Large,i3en.xlarge,32 GiB,4 vCPUs,Intel Xeon Platinum 8175,2500 GB NVMe SSD,Up to 25 Gigabit,$0.5320 hourly,$0.5900 hourly,$0.4210 hourly,$0.7160 hourly,$0.5470 hourly
